MONTH,SERVICE_CATEGORY,CLAIM_SPECIALTY,PAYER,PAID_AMOUNT
2018-01-01,AncillaryFFS,,Payer F,128438
2018-01-01,AncillaryFFS,,Payer H,66624
2018-01-01,AncillaryFFS,,Payer O,118108
2018-01-01,AncillaryFFS,,Payer W,1073
2018-01-01,AncillaryFFS,,Payer W,604
2018-01-01,AncillaryFFS,nurse,Payer UN,0
2018-01-01,AncillaryFFS,,Payer CA,1772
2018-01-01,AncillaryFFS,ambulance,Payer CA,446698
2018-01-01,AncillaryFFS,ambulance,Payer CO,51664
2018-01-01,AncillaryFFS,ambulance,Payer F,1083232
2018-01-01,AncillaryFFS,ambulance,Payer H,216194
2018-01-01,AncillaryFFS,ambulance,Payer O,180013
2018-01-01,AncillaryFFS,ambulance,Payer S,30712
2018-01-01,AncillaryFFS,ambulance,Payer W,64292
2018-01-01,AncillaryFFS,ambulance,Payer B,1623
2018-01-01,AncillaryFFS,ambulatory surgery,Payer W,8847
2018-01-01,AncillaryFFS,ambulatory,Payer UN,6492
2018-01-01,AncillaryFFS,,Payer W,290
2018-01-01,AncillaryFFS,anesthesiology,Payer F,2152
2018-01-01,AncillaryFFS,,Payer CA,3340
2018-01-01,AncillaryFFS,,Payer W,257
2018-01-01,AncillaryFFS,cardiology electrophysiology,Payer CA,180
2018-01-01,AncillaryFFS,electrophysiology,Payer W,1019
2018-01-01,AncillaryFFS,cardiology,Payer CA,786
2018-01-01,AncillaryFFS,cardiology,Payer F,96352
2018-01-01,AncillaryFFS,cardiology,Payer O,32068
2018-01-01,AncillaryFFS,cardiology,Payer UN,0
2018-01-01,AncillaryFFS,cardiology,Payer W,1499
2018-01-01,AncillaryFFS,,Payer B,0
2018-01-01,AncillaryFFS,cardiovascular,Payer S,145
2018-01-01,AncillaryFFS,surgery cardiovascular,Payer CA,3028
2018-01-01,AncillaryFFS,,Payer CO,818
2018-01-01,AncillaryFFS,chiropractic,Payer UN,0
2018-01-01,AncillaryFFS,laboratory,Payer S,2711
2018-01-01,AncillaryFFS,colon surgery rectal,Payer B,0
2018-01-01,AncillaryFFS,mental,Payer W,309
2018-01-01,AncillaryFFS,mental rehab,Payer F,7502
2018-01-01,AncillaryFFS,,Payer W,194
2018-01-01,AncillaryFFS,physical,Payer CA,0
2018-01-01,AncillaryFFS,critical,Payer W,4212
2018-01-01,AncillaryFFS,,Payer W,227
2018-01-01,AncillaryFFS,,Payer F,27436
2018-01-01,AncillaryFFS,,Payer O,9600
2018-01-01,AncillaryFFS,dermatology,Payer B,0
2018-01-01,AncillaryFFS,dermatology,Payer CA,610
2018-01-01,AncillaryFFS,dermatology,Payer CO,400
2018-01-01,AncillaryFFS,dermatology,Payer UN,0
2018-01-01,AncillaryFFS,dermatology,Payer W,878
2018-01-01,AncillaryFFS,dermatopathology,Payer F,10262
2018-01-01,AncillaryFFS,dermatopathology,Payer UN,0
2018-01-01,AncillaryFFS,,Payer CA,2226
2018-01-01,AncillaryFFS,diagnostic,Payer H,1757
2018-01-01,AncillaryFFS,diagnostic radiology,Payer CA,3244
2018-01-01,AncillaryFFS,diagnostic radiology,Payer CO,57
